Company,Fashion Transparency Index
SOK S Group,1.221546138
Speedo International Limited,4.344979284
Splash,0.01333333333
Sports Direct,1.08710133
Steve Madden,0.8910839055
Stradivarius,4.501633668
Superdry plc,4.843661897
Takko Holding GmbH,0.8603349003
Target,2.75502056
Target Australia,5.906910291
Tchibo GmbH,3.366928789
Ted Baker,2.528173972
Tezenis,2.975143725
The North Face Inc.,4.807188977
The Timberland Company,5.715053565
The Very Group,2.489821589
The Walt Disney Company,2.143786768
TJ Maxx,1.211226593
TOD'S,0.8472775175
Tom Ford International LLC,0.4119121248
Tom Tailor,2.884383674
Tommy Bahama,0.6805627728
Tommy Hilfiger Inc.,3.798998353
Topman,4.045431841
Topshop,3.265455474
Topvalu,1.60713925
Tory Burch LLC,0.4059574768
Triumph International,0.4719964467
Truworths,0.7953191261
UGG,2.925932336
Under Armour,1.528998948
Uniqlo Co.,4.214831708
United Arrows,1.677895637
United Colors of Benetton,4.955382299
Urban Outfitters,1.7124477
Valentino SpA,1.289197255
Van Heusen,1.373674917
Vans,5.595019133
Vero Moda,3.596860372
Victoria's Secret,1.735128098
Walmart,3.340900578
Warehouse Group,1.692602619
Woolworths Holdings Limited,2.193535904
Wrangler,3.909976358
Youngor,0.5173230684
Zalando SE,2.750825763
Zara,4.6439269
Zeeman,4.173746335
