Company,Country,Year,Policy & Commitments Score,Traceability Score ,"Know, Show & Fix Score", Spotlight Issues Score,Fashion Transparency Index
El Corte Ingles S.A.,Spain,2020,6.700838836,1.6442766,1.746042856,2.040900781,2.77937646
Elie Tahari,United States,2020,0,0,0,0,0
Ermenegildo Zegna,Italy,2020,3.616172143,5.6970782,0.7936706329,0,2.680122074
Esprit Holdings Limited,Hong Kong,2020,8.6152044,8.2260152,4.444388892,3.877775008,6.419117133
Express Inc,United States,2020,2.5525953,0,0.9524047595,0,0.7998939159
F&F,United Kingdom,2020,7.551044316,4.1766504,2.69861585,3.469347719,4.339469205
Falabella,Chile,2020,4.148411279,0,2.222245235,0.8162930832,1.699892564
Famous Footwear,United States,2020,3.403508109,0.1266846,0.6349365063,0,0.9198878577
"Fanatics, Inc",United States,2020,2.659023358,2.655786,0.6349365063,0,1.499128767
Fashion Nova,United States,2020,0.6381879212,0,0.1587341266,0,0.1599803291
Fendi,Italy,2020,7.87029959,0.1266846,1.111156344,2.040755215,2.519656077
FILA,Republic of Korea,2020,2.658966243,0,0.6349365063,0.4081532867,0.7798956975
Fjallraven,Sweden,2020,8.083131227,0.7590146,1.746042856,2.85720258,3.11948379
Foot Locker Inc.,United States,2020,2.871547325,0,0.3174682532,0.2040543071,0.7398395411
Forever 21,United States,2020,2.871584042,0,0.3174682532,0.2041224449,0.6598677988
Foschini,South Africa,2020,3.403214919,0,1.269873013,1.224510764,1.439816514
"Fossil Group, Inc.",United States,2020,4.466833137,0.1266846,0.9524047595,0.8163217611,1.279802028
Free People,United States,2020,3.50949557,3.2898916,0.7936706329,0.816394551,2.059409244
Furla,Italy,2020,4.573167263,0,0.6349365063,0,1.019759445
G-star RAW,Netherlands,2020,7.870249995,5.9467986,3.333346825,2.040784906,4.878784598
Gap inc.,United States,2020,9.14680448,4.5551252,3.809492854,3.265234915,4.999005048
George (brand),United Kingdom,2020,7.764259294,1.3913446,2.539699202,2.653076632,3.37936086
Gerry Weber,Germany,2020,3.403490831,0.1266846,0.6349039696,0.204090702,1.039870188
Gianni Versace S.r.l.,Italy,2020,2.020770843,0,0.6349365063,0,0.5799169181
Gildan Activewear Inc.,Canada,2020,9.147059654,5.1878382,3.015837299,2.857170719,4.919000547
Giorgio Armani SpA,Italy,2020,3.616379282,0,0.3174682532,0.2040308418,0.8798633498
Gucci,Italy,2020,9.997915008,1.2662384,4.285878547,5.102131928,4.839798608
Guess? Inc,United States,2020,5.743774903,0,1.428478575,1.632676524,1.919818881
H&M,Sweden,2020,9.147190201,7.718792,5.555515871,6.326717375,7.278836635
Heilan Home,China,2020,0,0,0,0,3.879035792
Helly Hansen AS,Norway,2020,4.786130327,4.6807722,2.539626197,1.632805066,0
Hema,Netherlands,2020,5.424455994,4.6818098,2.380809539,0.8163628082,3.498916111
Hermes International,France,2020,8.828053575,2.6572614,1.111188881,2.244898293,3.379220738
Hollister,United States,2020,6.381340326,0.6325486,2.380861914,1.632596592,3.299388338
Hudson's Bay Company,Canada,2020,5.424109369,1.1384126,1.587308729,0.204079592,2.479559473
Hugo Boss AG,Germany,2020,9.040728487,2.4030726,3.01579842,2.448971076,1.899464343
Intimissimi S.p.A,Italy,2020,5.956383362,0,0.1587341266,0.4082448898,4.09901543
Ito Yokado,Japan,2020,7.126292691,0.1266846,1.74601111,0.8162930832,1.31980907
J.Crew,United States,2020,5.104765063,0.1266846,1.111138886,0.4082131469,2.059779604
Jack & Jones,Denmark,2020,6.80689885,2.5295386,1.587223817,1.428554303,1.439736942
JC Penney,United States,2020,4.466948485,0,1.269873013,0.4081591841,2.919000227
JD Sports Fashion plc,United Kingdom,2020,4.254491691,0,1.428707129,1.632634232,1.479785514
Jessica Simpson,United States,2020,0,0,0,0,1.639858944
Jil Sander,Italy,2020,1.595459774,0,0.7936380962,0.6122991969,0
Jockey International Inc,United States,2020,1.701885791,0,0.4762523748,0,0.6199538803
Joe Fresh,Canada,2020,3.50969601,0.63233,1.111053974,0.6122011359,0.4399701272
John Lewis,United Kingdom,2020,5.743284752,3.1618686,0.9526047395,2.857113915,1.339608154
Jordan (Brand),United States,2020,9.147181702,5.9467438,2.698368255,5.102114482,2.958954732
JustFab,United States,2020,1.808025557,0,0.3174682532,0,5.518852439
K-Way,France,2020,2.340006739,0,0.3174682532,0,0.4199108046
Kate Spade & Company,United States,2020,5.956231697,0.1266846,1.428574603,1.428628675,0.5999152668
Kathmandu Holdings Ltd,New Zealand,2020,6.912860274,2.5295386,1.74601111,1.632633895,1.879807913
Kaufland,Germany,2020,3.084458854,2.1512878,0.9524547545,1.224564845,3.018934972
KiK Textilien und Non-Food GmbH,Germany,2020,5.743951485,0.1266846,1.111106349,0.8163041932,1.819710517
Kmart Australia,Australia,2020,7.764705769,1.5178106,3.015849207,2.040710647,1.799881635
Kmart Corporation,United States,2020,6.700892691,0,1.111138886,0.4081104338,3.179366121
Kohl's,United States,2020,5.104959284,0,1.269808731,0.8163198368,1.77975647
Koovs,India,2020,0.8509536046,0,0,0,1.639722834
La Redoute,France,2020,4.14769933,0,0.3174682532,1.020388998,0.1599792777
Lacoste,France,2020,6.488590481,2.276388,1.111138886,1.224471655,1.139757717
"Lands' End, Inc.",United States,2020,6.700190741,0.1266846,1.269873013,0,2.459197062
Levi Strauss & Co.,United States,2020,8.827340066,3.7954006,4.285723011,3.061278669,1.859660192
Li-Ning,China,2020,5.424767303,0,0.9524047595,1.02043129,4.77891534
Lidl Limited,United Kingdom,2020,5.743820938,1.26466,2.698463485,2.244762241,1.539858785
Lindex,Sweden,2020,7.445341946,5.9467986,3.650650015,2.653003386,2.679449094
LL Bean,United States,2020,2.339920388,0.1266846,0.4762023798,0,4.958849111
LOFT,United States,2020,5.955925327,1.391126,1.904761904,1.632670627,0.5999403662
Longchamp,France,2020,0.9570093991,0,0,0.2041224449,2.55931322
Louis Vuitton Malletier SA (LVMH),France,2020,7.87029959,0.1266846,1.111156344,2.449000105,0.2999177662
lululemon athletica,Canada,2020,7.44459502,5.6948976,3.492138086,1.224442731,2.599672076
Macy's,United States,2020,5.95619804,0.1266846,1.111138886,0.4081591841,4.559189078
Mammut Sports Group AG,Switzerland,2020,5.211749805,2.6560046,2.063511109,3.673659355,1.559811765
"MANGO (Punto Fa, S.L.)",Spain,2020,6.381910609,0,1.746042856,2.244986831,3.13914045
Marc Jacobs,United States,2020,7.87029959,0.1266846,1.111156344,2.040755215,2.159811413
Marks and Spencer Group plc,United Kingdom,2020,9.359833837,5.3142916,4.285807922,5.306140655,2.519656077
Marni,Italy,2020,3.935329167,0,0.6349365063,0.4081086142,5.959000072
Massimo Dutti S.A.,Spain,2020,8.615331067,1.899039,3.968107152,4.489951648,1.059827171
Matalan,United Kingdom,2020,4.041430177,1.644058,1.745990481,0.2040543071,4.41978009
Max Mara,Italy,2020,0.2126674333,0,0,0,1.759295447
Merrell,United States,2020,3.935136066,0.1266846,1.111138886,0,0.03998147745
Metersbonwe,China,2020,0,0,0,0,1.099852913
Mexx,Netherlands,2020,0,0,0,0,0.079992
Miu Miu,France,2020,5.850086291,0.1266846,0.7936055594,1.632719816,0
Mizuno Corporation,Japan,2020,6.381694191,2.276388,1.904795232,0.6122134912,1.819858241
Moncler,Italy,2020,6.594647395,0.1266846,1.428607139,0.4081591841,2.679107359
Monoprix,France,2020,7.658308749,0,1.587358724,1.020323925,1.879842243
Monsoon Accessorize Ltd,United Kingdom,2020,8.29599978,4.8077028,1.428607139,1.836772439,2.199775933
Mr Price,South Africa,2020,4.99870203,0.1266846,1.428607139,0.8162677983,3.998890441
Muji,Japan,2020,3.403026377,0,0.9524047595,0.6122991969,1.579801803
"Neiman Marcus Group, Inc.",United States,2020,2.552540226,0,0.3174682532,0,1.039793601
"New Balance Athletic Shoe, Inc.",United States,2020,7.65770325,4.554825,3.968376965,3.265363338,0.6398715623
New Look Retail Group,United Kingdom,2020,6.700216338,4.3016196,3.33329683,2.448961435,4.83902312
New York & Company Inc.,United States,2020,2.446278412,0,1.111138886,0,4.258923708
New Yorker,Germany,2020,0.3189952005,0,0,0,0.7399073408
Next PLC,United Kingdom,2020,7.76460004,2.5295386,2.381197592,2.857065971,0.05997109769
Nike Inc.,United States,2020,9.147181702,5.9467438,2.698368255,5.102114482,3.619117729
Nine West,United States,2020,0.6381879212,0,0.4762523748,0,5.518852439
Nordstrom,United States,2020,6.700878952,0.1266846,2.063479364,1.632623122,0.3199949276
Nutmeg at Morrisons,United Kingdom,2020,5.211654415,3.0359732,2.539711109,2.040687638,2.219780508
Old Navy,United States,2020,9.14680448,4.5551252,3.809492854,3.265234915,3.139148538
Otto Group,Germany,2020,6.382028777,0.1266846,0.7936706329,1.020437748,4.999005048
OVS SpA,Italy,2020,7.339167163,2.2766066,2.85711508,2.44904579,1.959864542
Patagonia Inc.,United States,2020,8.934589741,6.0733194,4.285826969,5.714112204,3.459185087
Pepe Jeans,Spain,2020,0.2126793321,0,0,0,6.03885819
Pimkie,France,2020,3.509955544,2.402854,1.111041276,0.204079592,0.03998371443
Prada,Italy,2020,5.850086291,0.1266846,0.7936055594,1.632719816,1.819147508
PrettyLittleThing,United Kingdom,2020,2.552533767,0,0.9524047595,0.8163010097,1.819858241
Primark,Ireland,2020,7.232160284,2.2766066,4.127169823,3.265183771,0.9198853454
Pull & Bear,Spain,2020,8.615331067,1.899039,3.968107152,4.489951648,3.839092633
Puma,Germany,2020,9.466221098,4.6818646,4.603254754,4.28585302,4.41978009
Quiksilver Inc,United States,2020,0.9572381962,0,0.6349365063,0,5.65916617
Ralph Lauren Corporation,United States,2020,7.764241276,0.1266846,1.74601111,2.653102478,0.3399647805
Reebok International Ltd.,United States,2020,9.891532167,6.199621,5.873114271,5.918483261,2.699720579
REI,United States,2020,5.423723308,1.1384126,1.904711909,1.428608042,6.938735799
Reliance Trends,India,2020,3.616618098,0,0.9525047495,0.8163381942,2.259392941
Reserved,Poland,2020,5.424883092,0.1266846,1.269840476,1.836740696,1.239965685
REVOLVE,United States,2020,0.5316939106,0,0.4762023798,0,1.939903331
River Island,United Kingdom,2020,4.147541046,2.655786,1.746225377,0.4081086142,0.2199614549
Ross Stores,United States,2020,3.190621398,0,0.9524047595,0,2.218996176
Roxy,United States,2020,0.9572381962,0,0.6349365063,0,0.8398428222
Russell Athletic,United States,2020,5.849546605,4.9346876,2.857044455,0.4081104338,0.3399647805
S.Oliver,Germany,2020,5.849672493,0.1266846,0.6349365063,0.8163737996,3.619048891
Sainsbury's,United Kingdom,2020,6.274715528,5.4407702,3.333364283,2.857096364,1.619792027
Saint Laurent,France,2020,9.785235676,1.2662384,4.285878547,4.489885225,4.698936589
Sak's Fifth Avenue,United States,2020,5.424109369,1.1384126,1.587308729,0.204079592,4.67981454
Salvatore Ferragamo SpA,Italy,2020,7.126555824,0.1266846,1.428657134,0.8162930832,1.899464343
Sandro,France,2020,3.935042436,0,0.9524047595,0.612256344,2.059847871
Skechers USA Inc,United States,2020,3.297113369,0,0.6349365063,0.2040543071,1.139804221
Smart Bazaar,India,2020,0.4253110689,0,0,0,0.8198559571
SOK S Group,Finland,2020,5.530670013,0.758796,1.904895222,2.24487766,0.119966481
Speedo International Limited,United Kingdom,2020,6.48739558,3.0354026,1.904976962,2.448895677,2.479567116
Sports Direct,United Kingdom,2020,2.339428117,0,0.1587341266,0.6121882062,3.378839338
Steve Madden,United States,2020,4.041668833,0,0.3174682532,0.2040308418,0.5998023744
Stradivarius,Spain,2020,8.615331067,1.899039,3.968107152,4.489951648,0.9598417854
Superdry plc,United Kingdom,2020,6.062348485,0.1266846,1.269873013,2.244906338,4.41978009
Takko Holding GmbH,Germany,2020,3.190860834,0.1266846,1.269840476,0.6122098519,2.01975549
Target,United States,2020,7.977283552,2.9101934,2.539615878,2.653027321,1.159907101
Target Australia,Australia,2020,7.764705769,1.5178106,3.015849207,2.040710647,3.739334978
Tchibo GmbH,Germany,2020,8.934381342,4.174963,3.174512708,2.857211095,3.179366121
Ted Baker,United Kingdom,2020,5.211539646,2.7824706,0.4763023698,1.224443305,4.838942577
Tezenis,Italy,2020,5.956383362,0,0.1587341266,0.4082448898,2.339049248
The North Face Inc.,United States,2020,8.827840556,8.0995492,2.698515068,3.67350327,1.31980907
The Timberland Company,United States,2020,8.934168323,8.0995492,2.698515068,3.67350327,5.85913201
The Very Group,United Kingdom,2020,5.636818898,2.52932,2.539861094,0.816230158,5.87912163
The Walt Disney Company,United States,2020,5.104936506,2.0246032,1.904729367,0.6122134912,2.818997179
TJ Maxx,United States,2020,5.104948405,0,0.9523722228,0.8163106511,2.279480319
TOD'S,Italy,2020,4.999115148,1.011728,0.7936706329,2.04085678,1.519732988
Tom Ford International LLC,United States,2020,0.106339666,0,0,0,2.019560624
Tom Tailor,Germany,2020,3.829107429,1.391126,1.587341266,0.612292739,0.01999185721
Tommy Bahama,United States,2020,3.403288831,0,0.4762023798,0.4080851489,1.799487389
Tommy Hilfiger Inc.,United States,2020,8.827776982,5.1877834,3.65070001,4.693919811,0.8398059891
Topman,United Kingdom,2020,6.700716048,3.9219214,3.0157143,2.040794885,5.378954313
Topshop,United Kingdom,2020,6.700716048,3.9219214,3.0157143,2.040794885,3.81900158
Topvalu,Japan,2020,7.126421198,0,0.6349539646,1.836713263,3.81900158
Tory Burch LLC,United States,2020,1.701642716,0,0.1587341266,0,1.939787384
Triumph International,Switzerland,2020,3.190770303,0,1.428707129,0.2040308418,0.3599098305
Truworths,South Africa,2020,4.785786421,0,0.9525047495,1.224549083,0.9998890585
UGG,United States,2020,5.636721728,0.1266846,1.111106349,1.020457136,1.459786664
