Company,Country,Year,Traceability Score,Policy & Commitments Score,"Know, Show & Fix Score",Spotlight Issues Score,Fashion Transparency Index
Max Fashion,United Arab Emirates,2022,0,1.742424242,0,0.1205,0
Max Mara,Italy,2022,0,0.1515151515,0,0,0
Merrell,United States,2022,0.1369863014,2.802993007,0,0.1204665921,0
Metersbonwe,China,2022,0,0,0,0,0
Mexx,Netherlands,2022,0,0,0,0,0
Miu Miu,France,2022,1.232876712,4.318249417,0,1.927946808,0
Mizuno Corporation,Japan,2022,1.780821918,6.363682984,0,0.8434525403,0
Moncler,Italy,2022,0.1369863014,4.848447552,2,1.325427316,2
Monoprix,France,2022,0,6.136435897,6,1.084403214,6
Mr Price,South Africa,2022,0.1369863014,4.015207459,2,0.9639687468,2
Muji,Japan,2022,0,6.439473193,0,2.048178763,0
"New Balance Athletic Shoe, Inc.",United States,2022,4.931506849,7.727340326,2,2.288764905,2
New Look Retail Group,United Kingdom,2022,4.93150685,6.742463869,0,2.409553314,0
New Yorker,Germany,2022,0,0.2272727273,0,0,0
Next PLC,United Kingdom,2022,3.561643836,6.893990676,0,3.132685442,0
Nike Inc.,United States,2022,5.616438356,9.242456876,8,4.698567585,8
Nine West,United States,2022,0,0.454515152,0,0,0
Nordstrom,United States,2022,0,5.378808858,2,1.807189442,2
Nutmeg at Morrisons,United Kingdom,2022,2.465753425,4.772843823,0,2.048077297,0
Old Navy,United States,2022,3.561643836,8.636405594,8,3.252826877,8
Otto Group,Germany,2022,0.8219178083,5.681820513,6,0.4819765686,6
OVS SpA,Italy,2022,10,9.242424242,8,6.746940964,8
Paris (Almacenes Paris),Chile,2022,1.917808219,5.454608392,0,1.204846831,0
Patagonia Inc.,United States,2022,5.068493151,6.969703963,10,2.770959887,10
Pepe Jeans,Spain,2022,0,0.909041958,0,0,0
Pimkie,France,2022,2.054794521,3.712172494,0,1.9276493,0
Prada,Italy,2022,1.232876712,4.318249417,0,1.927946808,0
PrettyLittleThing,United Kingdom,2022,1.917808219,5.530223776,0,2.650649584,0
Primark,Ireland,2022,1.780821918,7.87886014,2,3.253110188,2
Pull & Bear,Spain,2022,0.1369863014,9.015188811,8,5.421631094,8
Puma,Germany,2022,4.794520548,9.393944056,8,5.18085522,8
Quiksilver Inc,United States,2022,0,3.560575758,0,0.1205120512,0
Ralph Lauren Corporation,United States,2022,4.93150685,8.181825175,8,4.578366624,8
Reebok International Ltd.,United States,2022,5.479452055,8.484918415,4,2.529792791,4
REI,United States,2022,2.054794521,4.242524476,0,1.084358096,0
Reliance Trends,India,2022,0,3.181799534,2,0.2410341684,2
Reserved,Poland,2022,0.1369863014,5.303060606,0,1.807225036,0
REVOLVE,United States,2022,0,0.909079254,0,0,0
River Island,United Kingdom,2022,2.328767123,7.348508159,0,1.566029879,0
Romwe,China,2022,0,1.212065268,0,0,0
Ross Stores,United States,2022,0,1.96969697,0,0.6025578458,0
Roxy,United States,2022,0,3.560575758,0,0.1205120512,0
Russell Athletic,United States,2022,4.93150685,6.818195804,2,3.132471733,2
S.Oliver,Germany,2022,3.287671233,5.227282051,6,0.8432026213,6
Sainsbury's,United Kingdom,2022,5.479452055,7.045501166,2,3.734944849,2
Saint Laurent,France,2022,1.095890411,9.242426573,10,5.30112614,10
