Company,Country,Year,Traceability Score,Policy & Commitments Score,"Know, Show & Fix Score",Spotlight Issues Score,Fashion Transparency Index
H&M,Sweden,2021,8.198257098,1.927646393,5.106306917,5.421686509,6.776689724
Heilan Home,China,2021,0,0,0,0,0.03
Helly Hansen AS,Norway,2021,6.493152883,1.204990868,2.1279149,1.807026468,3.61194481
Hema,Netherlands,2021,4.736328565,3.252734589,0.851124117,0.481874153,2.411948448
Hermes International,France,2021,2.303802587,0,2.979019667,2.650577839,3.711992697
Hollister,United States,2021,0.952399266,2.529936369,2.1275914,1.204702936,1.991887973
Hudson's Bay Company,Canada ,2021,0.952399266,1.204952876,1.489307142,0.120487457,1.321896836
Hugo Boss AG,Germany,2021,2.438942919,0.7228693403,2.978538925,1.927656049,3.371892386
Intimissimi S.p.A,Italy,2021,0,0.2409776755,0,1.084258641,1.069969151
Ito Yokado,Japan,2021,0.141557273,0,1.701944308,0.602387187,1.461880159
J. Crew,United States,2021,NA,NA,NA,NA,NA
Jack & Jones,Denmark,2021,2.574083251,0.3614164271,1.489264842,1.445703648,2.521875837
JC Penney,United States,2021,NA,NA,NA,NA,NA
JD Sports Fashion plc,United Kingdom,2021,2.297385646,0.4820457946,2.553480333,1.80724372,2.660087112
Jessica Simpson,United States,2021,0,1.686765534,0,0,0
Jil Sander,Italy,2021,0,0.3613694703,0.638372667,0.481882563,0.609995688
Jockey International Inc,United States,2021,0,1.686587276,0.212833333,0,0.220009282
Joe Fresh,Canada ,2021,0.540561328,3.132471733,1.489202533,0.602349814,1.339931751
John Lewis,United Kingdom,2021,2.438942919,0,2.530030434,,
Jordan (Brand),United States,2021,6.087731886,2.047810918,3.191539175,4.819068284,5.541918007
JustFab,United States,2021,0,3.252826877,0.425539333,0,0.330010933
K-Way,France,2021,0,1.325187623,0,0,0.399987075
Kate Spade & Company,United States,2021,0.99090091,0,1.489539083,2.048165478,2.173304595
Kathmandu Holdings Ltd,New Zealand,2021,2.709223583,0.7228531798,1.276601142,1.204759185,2.47189832
Kaufland,Germany,2021,2.033521923,3.373536716,0.851039083,0.602369846,1.371900624
KiK Textilien und Non-Food GmbH,Germany,2021,0.141557273,1.686871694,1.915042642,0.481959752,1.431962275
Kmart Australia,Australia,2021,5.547170558,4.819193019,5.318934408,4.457835849,5.57193022
Kmart Corporation,United States,2021,0,6.867572196,1.276549167,0,0.839966729
Kohl's,United States,2021,0.141557273,2.530162564,1.914875725,0.843348377,1.491901661
Koovs,India,2021,0,6.144527358,0,0,0
La Redoute,France,2021,0.141557273,1.204820809,0.6385,0.48187246,0.901916608
Lacoste,France,2021,5.547170558,0,2.340548917,1.325165862,3.471952338
"Lands' End, Inc.",United States,2021,0.141557273,1.204604954,1.702019667,0.481896379,1.441849734
Levi Strauss & Co.,United States,2021,4.330907569,0.1204564901,2.766173283,3.252868943,4.431968376
Li-Ning,China,2021,0,2.048454826,1.48941175,0.602335107,1.269971843
Lidl Limited,United Kingdom,2021,1.763241258,1.084348449,3.829976867,1.686675333,2.721945325
Lindex,Sweden,2021,8.236758742,0.3614548764,2.340643625,3.132506676,5.038104676
LL Bean,United States,2021,1.89838159,3.855229649,0,0.120478641,0.861913398
LOFT,United States,2021,NA,NA,NA,NA,NA
Longchamp,France,2021,0,0.6025432543,0,0.120478641,0.279982907
Louis Vuitton Malletier SA (LVMH),France,2021,0.141557273,3.011984355,1.914973808,1.084267317,2.221883956
lululemon athletica,Canada ,2021,6.016760962,1.08421345,3.404100983,1.686577761,4.25089297
Macy's,United States,2021,0,1.566179015,1.0639705,0.24099578,1.000037051
Mammut Sports Group AG,Switzerland,2021,3.11464458,0,2.978493475,2.650610051,3.121890719
"MANGO (Punto Fa, S.L.)",Spain,2021,1.486543653,0,2.553039175,2.168612296,2.579954952
Marc Jacobs,United States,2021,0.141557273,0.963881857,1.914973808,0.963788675,2.181885047
Marks and Spencer Group plc,United Kingdom,2021,5.508284337,3.132598371,4.468133792,2.891524672,4.840453764
Marni,Italy,2021,0,4.698567585,0.4254705,0,0.449994608
Massimo Dutti S.A.,Spain,2021,0.141557273,0,3.403980175,4.216667216,3.581788998
Matalan,United Kingdom,2021,1.756824318,0,1.70213395,0.72278933,1.720007649
Max Mara,Italy,2021,0,2.168730739,0,0,0.04
Merrell,United States,2021,0.141557273,0.9638108561,1.063843167,0.361415717,0.881885179
Metersbonwe,China,2021,0,1.084299288,0,0,0
Mexx,Netherlands,2021,0,1.686471677,0,0,0
Miu Miu,France,2021,1.486543653,0,0.851101392,1.325158327,1.83998783
Mizuno Corporation,Japan,2021,2.297385646,6.385456847,1.489405225,1.204809515,2.150056838
Moncler,Italy,2021,0.141557273,0,1.48941175,1.204775306,1.791908584
Monoprix,France,2021,0,1.204740179,1.276571892,1.084307099,1.800012039
Monsoon Accessorize Ltd,United Kingdom,2021,,0,,,
Mr Price,South Africa,2021,0.141557273,1.084249839,2.1276175,0.963758191,1.49188661
Muji,Japan,2021,0.141557273,2.289077811,2.978787725,1.445740355,2.231903664
Neiman Marcus Group Inc.,United States,2021,NA,NA,NA,NA,NA
"New Balance Athletic Shoe, Inc.",United States,2021,4.736328565,0,3.829836483,2.289018425,4.231925246
New Look Retail Group,United Kingdom,2021,4.054209964,3.493936961,2.55304885,1.807097261,3.419967212
New York & Company Inc.,United States,2021,NA,NA,NA,NA,NA
New Yorker,Germany,2021,0,2.16865183,0,0,0.04
Next PLC,United Kingdom,2021,3.655205908,3.132286542,2.771096992,,
Nike Inc.,United States,2021,6.087731886,0.6022642052,3.191539175,4.819068284,5.541918007
Nine West,United States,2021,0,0.2409331842,0.212833333,0,0.140008667
Nordstrom,United States,2021,2.033521923,3.132691498,2.340421583,2.289035907,2.811887104
Nutmeg at Morrisons,United Kingdom,2021,2.033521923,4.578197578,3.191771117,2.048188796,2.791983883
Old Navy,United States,2021,4.466047901,0.1205216922,5.319362517,3.493797609,4.921936061
Otto Group,Germany,2021,1.357820262,2.40953142,1.91489845,0.722857304,1.981916331
OVS SpA,Italy,2021,9.317881399,2.891694232,5.531767742,7.228906952,7.83805167
Patagonia Inc.,United States,2021,6.821186014,3.012224906,4.680735183,4.09640634,5.569052794
Pepe Jeans,Spain,2021,0,3.4938803,0,0,0.02
Pimkie,France,2021,2.432525978,0,2.127555625,2.28915011,2.880024241
Prada,Italy,2021,1.486543653,5.421631094,0.851101392,1.325158327,1.83998783
PrettyLittleThing,United Kingdom,2021,1.763241258,0.9638262959,1.276594617,0.843360889,1.971909785
Primark,Ireland,2021,2.303802587,0.1205,4.255411592,3.011946597,3.801922755
Pull & Bear,Spain,2021,0.141557273,0,3.403980175,4.337145857,3.621787907
Puma,Germany,2021,4.060626904,0.1204665921,5.106146525,3.734878424,5.081897056
Quiksilver Inc,United States,2021,0,0,0,0,0.03
Ralph Lauren Corporation,United States,2021,0.141557273,0,2.766238308,3.373365341,2.861904894
Reebok International Ltd.,United States,2021,5.817451222,1.927946808,4.893476958,3.855344388,5.441923208
REI,United States,2021,1.492960594,0.8434525403,1.06394125,1.566181565,1.941911518
Reliance Trends,India,2021,0,1.325427316,0.638303833,0.2409481,0.730012404
Reserved,Poland,2021,0.141557273,1.084403214,0.638395392,1.686631575,1.521878302
REVOLVE,United States,2021,0,0.9639687468,0.21273525,0,0.219996586
River Island,United Kingdom,2021,2.574083251,2.048178763,1.914862675,0.120505015,2.20193531
Ross Stores,United States,2021,0,2.288764905,1.276480333,0.120487457,0.609972754
Roxy,United States,2021,0,2.409553314,0,0,0.03
Russell Athletic,United States,2021,3.513648635,0,2.765790625,2.53008842,3.399990195
S.Oliver,Germany,2021,0.141557273,3.132685442,0.425666667,0.602340824,1.081910005
Sainsbury's,United Kingdom,2021,6.531654527,4.698567585,2.978918208,3.132421484,4.84338804
Saint Laurent,France,2021,1.132458183,0,4.468244925,4.698826058,4.295269152
Sak's Fifth Avenue,United States,2021,0.952399266,1.807189442,1.489307142,0.120487457,1.321896836
Salvatore Ferragamo SpA,Italy,2021,0.141557273,2.048077297,2.553480333,2.409676048,2.531975806
Sandro,France,2021,0,3.252826877,0.851101392,0.481909012,0.880023419
Skechers USA Inc,United States,2021,0.141557273,0.4819765686,0.851107917,0.120468538,0.811917926
Smart Bazaar,India,2021,0,6.746940964,0,0,0
SOK S Group,Finland,2021,2.027104982,1.204846831,2.765660142,0.963864395,2.509977545
Speedo International Limited,United Kingdom,2021,5.952591554,2.770959887,2.978872758,4.3372983,5.251972777
Sports Direct,United Kingdom,2021,0,0,0,0.48192657,0.490008955
Steve Madden,United States,2021,0,1.9276493,1.7024705,0.843278074,1.350061597
Stradivarius,Spain,2021,0.141557273,1.927946808,3.403980175,4.216667216,
Superdry plc,United Kingdom,2021,0.141557273,2.650649584,2.127777892,4.09620118,3.171855218
Takko Holding GmbH,Germany,2021,0.546978269,3.253110188,1.702013142,0.72297745,1.171919936
Target,United States,2021,3.249784912,5.421631094,4.680735183,3.132407632,4.211876857
Target Australia,Australia,2021,5.547170558,5.18085522,5.318934408,4.457835849,5.57193022
Tchibo GmbH,Germany,2021,5.141749561,0.1205120512,4.042571733,4.698795206,5.341973263
Ted Baker,United Kingdom,2021,2.574083251,4.578366624,0.851206,1.20476248,2.12193005
Tezenis,Italy,2021,0,2.529792791,0,1.084258641,1.069969151
The North Face Inc.,United States,2021,8.365482134,1.084358096,5.319264433,4.698666345,6.566167601
